Supplemental_Table_1: Parkinson's Disease associated genes from DisGeNET. Disease association score > 0.3 shows evidence supported by In silico or In vivo studies.,,,
,,,
Disease_name,Gene,Gene_Description,Disease_Association_score
Parkinson Disease,SNCA,synuclein alpha,1
Parkinson Disease,LRRK2,leucine rich repeat kinase 2,1
Parkinson Disease,GBA1,glucosylceramidase beta 1,1
Parkinson Disease,PRKN,parkin RBR E3 ubiquitin protein ligase,1
Parkinson Disease,VPS35,VPS35 retromer complex component,1
Parkinson Disease,PINK1,PTEN induced kinase 1,1
Parkinson Disease,PARK7,Parkinsonism associated deglycase,1
Parkinson Disease,MAPT,microtubule associated protein tau,1
Parkinson Disease,GDNF,glial cell derived neurotrophic factor,1
Parkinson Disease,TH,tyrosine hydroxylase,1
Parkinson Disease,MAOB,monoamine oxidase B,1
Parkinson Disease,BDNF,brain derived neurotrophic factor,1
Parkinson Disease,NR4A2,nuclear receptor subfamily 4 group A member 2,1
Young onset Parkinson disease,PRKN,parkin RBR E3 ubiquitin protein ligase,0.95
Parkinson Disease,SLC6A3,solute carrier family 6 member 3,0.95
Parkinson Disease,DDC,dopa decarboxylase,0.95
Parkinson Disease,SLC18A2,solute carrier family 18 member A2,0.95
Parkinson Disease,ATP13A2,ATPase cation transporting 13A2,0.95
Parkinson Disease,PPARGC1A,PPARG coactivator 1 alpha,0.95
Parkinson Disease,UCHL1,ubiquitin C-terminal hydrolase L1,0.95
Parkinson Disease,SOD1,superoxide dismutase 1,0.9
Parkinson Disease,DRD2,dopamine receptor D2,0.9
Parkinson Disease,TARDBP,TAR DNA binding protein,0.9
Parkinson Disease,SYNJ1,synaptojanin 1,0.9
Parkinson Disease,SNCB,synuclein beta,0.9
Parkinson Disease,TFAM,"transcription factor A, mitochondrial",0.9
Parkinson Disease,GSTP1,glutathione S-transferase pi 1,0.85
Parkinson Disease,CYP2D6,cytochrome P450 family 2 subfamily D member 6 (gene/pseudogene),0.85
Parkinson Disease,GSTM1,glutathione S-transferase mu 1,0.85
Parkinson Disease,HSPA9,heat shock protein family A (Hsp70) member 9,0.85
Parkinson Disease,INS,insulin,0.85
Young onset Parkinson disease,PARK7,Parkinsonism associated deglycase,0.85
