Supplemental_Table_4: List of genes with shared and unique edited coordinates in prodromal PD.,,,
,Shared_genes,Unique_to_Prodromal_PD,All_genes
1,SNCA,DNAJC6,SNCA
2,LRRK2,HNMT,LRRK2
3,VPS35,AKT1,VPS35
4,PINK1,HTT,PINK1
5,PARK7,MAPK3,PARK7
6,SLC18A2,CASP9,SLC18A2
7,TARDBP,ENO2,TARDBP
8,SYNJ1,FBP1,SYNJ1
9,TFAM,,TFAM
10,GSTP1,,GSTP1
11,HSPA9,,HSPA9
12,FBXO7,,FBXO7
13,VPS13C,,VPS13C
14,SOD2,,SOD2
15,TMEM230,,TMEM230
16,BST1,,BST1
17,HLA-DRA,,HLA-DRA
18,PARP1,,PARP1
19,HSPA8,,HSPA8
20,POLG,,POLG
21,DNAJC13,,DNAJC13
22,HTRA2,,HTRA2
23,SLC11A2,,SLC11A2
24,MAPK1,,MAPK1
25,CP,,CP
26,GAK,,GAK
27,DNM1L,,DNM1L
28,GIGYF2,,GIGYF2
29,CASP3,,CASP3
30,HLA-DRB1,,HLA-DRB1
31,ATM,,ATM
32,GRK6,,GRK6
33,NQO2,,NQO2
34,CAST,,CAST
35,CREB1,,CREB1
36,TNK2,,TNK2
38,BAG5,,BAG5
39,MAP3K5,,MAP3K5
40,DDIT4,,DDIT4
41,NDUFV2,,NDUFV2
42,HMGCR,,HMGCR
43,EIF2AK2,,EIF2AK2
44,A2M,,A2M
45,RFC1,,RFC1
46,IGF2R,,IGF2R
47,IGF1R,,IGF1R
48,PHACTR2,,PHACTR2
49,MTRR,,MTRR
50,DEFA4,,DEFA4
51,SLC38A2,,SLC38A2
52,,,DNAJC6
53,,,HNMT
54,,,AKT1
55,,,HTT
56,,,MAPK3
57,,,CASP9
58,,,ENO2
59,,,FBP1
